customer_id,region,income,debt,loan_amount,loan_purpose,township_flag,load_shedding_hours,transaction_frequency,support_tickets,days_since_last_contact,churned,income_missing,township_flag_missing,debt_to_income,load_shedding_sin,load_shedding_cos,has_support_ticket,log_support_tickets,loan_to_income,days_since_contact_log,township_x_loadshedding,region_mean_income,region_mean_debt_to_income,region_mean_loan_amount,region_mean_transaction_frequency
CUST_013992,Cape Town,4901.292908281202,2103.83917163583,2262.9409928687005,home_improvement,1.0,7.0,9.0,0.0,104.0,1.0,0,0,0.42924167377982925,0.9659258262890683,-0.25881904510252063,0,0.0,0.46170286804227634,4.653960350157523,7.0,17564.22037294,0.3420376293955739,8587.943382298525,8.613938330408624
CUST_001426,Pretoria,21558.6952744027,10098.703556069662,12138.663414758325,car,0.0,1.0,9.0,0.0,55.0,0.0,0,0,0.4684283268320121,0.25881904510252074,0.9659258262890683,0,0.0,0.5630518572787163,4.02535169073515,0.0,16579.33559776251,0.3340389481012732,8287.958692623892,8.7
CUST_014506,Cape Town,13450.0,5183.79575086285,9050.804241388374,car,0.0,3.0,3.0,0.0,53.0,0.0,0,0,0.3854123234842267,0.7071067811865476,0.7071067811865476,0,0.0,0.6729222484303624,3.9889840465642745,0.0,17564.22037294,0.3420376293955739,8587.943382298525,8.613938330408624
CUST_007271,Johannesburg,22035.84806822667,7377.281800523165,10085.530053622442,debt_consolidation,1.0,4.0,5.0,3.0,1.0,0.0,0,0,0.3347854721852259,0.8660254037844386,0.5000000000000001,1,1.3862943611198906,0.45768740201856334,0.6931471805599453,4.0,17152.090903412907,0.34071420837304034,8323.292528961734,8.581141528001432
CUST_006659,Johannesburg,14831.862514827268,6067.4077495056,6615.690632326498,debt_consolidation,1.0,5.0,15.0,0.0,160.0,1.0,0,0,0.40907928747586975,0.9659258262890683,0.25881904510252074,0,0.0,0.44604584391965996,5.081404364984463,5.0,17152.090903412907,0.34071420837304034,8323.292528961734,8.581141528001432
CUST_004001,Cape Town,12395.0,4147.372648374638,8598.751159253568,debt_consolidation,0.0,3.0,6.0,0.0,8.0,1.0,0,0,0.3346004556978328,0.7071067811865476,0.7071067811865476,0,0.0,0.6937274029248542,2.1972245773362196,0.0,17564.22037294,0.3420376293955739,8587.943382298525,8.613938330408624
CUST_010646,Johannesburg,,,,debt_consolidation,1.0,4.0,11.0,0.0,22.0,0.0,1,0,,0.8660254037844386,0.5000000000000001,0,0.0,,3.1354942159291497,4.0,17152.090903412907,0.34071420837304034,8323.292528961734,8.581141528001432
CUST_006818,Pretoria,39523.0,11961.985333638471,20621.40356679291,car,0.0,7.0,4.0,0.0,141.0,1.0,0,0,0.30265884000805787,0.9659258262890683,-0.25881904510252063,0,0.0,0.5217570418944136,4.955827057601261,0.0,16579.33559776251,0.3340389481012732,8287.958692623892,8.7
CUST_005673,Durban,10108.11639309809,6557.761634214281,3838.584817250132,debt_consolidation,0.0,4.0,10.0,0.0,42.0,0.0,0,0,0.6487619828647777,0.8660254037844386,0.5000000000000001,0,0.0,0.37975273215800637,3.7612001156935624,0.0,17157.33242974949,0.34369649875077674,8275.804512870489,8.566174055829228
CUST_010704,Pretoria,5380.836566779023,1678.958202331031,3351.209792618464,car,0.0,8.0,11.0,0.0,63.0,0.0,0,0,0.31202549668518514,0.8660254037844387,-0.4999999999999998,0,0.0,0.6228046050141425,4.1588830833596715,0.0,16579.33559776251,0.3340389481012732,8287.958692623892,8.7
CUST_004102,Cape Town,39905.29663217208,0.0,20133.64621646233,other,0.0,3.0,8.0,2.0,39.0,0.0,0,0,0.0,0.7071067811865476,0.7071067811865476,1,1.0986122886681098,0.504535686128201,3.6888794541139363,0.0,17564.22037294,0.3420376293955739,8587.943382298525,8.613938330408624
CUST_012149,Johannesburg,13023.537278031014,4833.121560987758,2846.036266588611,business,1.0,4.0,12.0,0.0,35.0,0.0,0,0,0.37110667077680926,0.8660254037844386,0.5000000000000001,0,0.0,0.2185302046464364,3.58351893845611,4.0,17152.090903412907,0.34071420837304034,8323.292528961734,8.581141528001432
CUST_013675,Pretoria,,,,home_improvement,1.0,7.0,12.0,0.0,10.0,0.0,1,0,,0.9659258262890683,-0.25881904510252063,0,0.0,,2.3978952727983707,7.0,16579.33559776251,0.3340389481012732,8287.958692623892,8.7
CUST_003352,Cape Town,,,,debt consolidation,1.0,7.0,10.0,0.0,82.0,0.0,1,0,,0.9659258262890683,-0.25881904510252063,0,0.0,,4.418840607796598,7.0,17564.22037294,0.3420376293955739,8587.943382298525,8.613938330408624
CUST_007832,Cape Town,11478.956630527591,4977.798333172192,4460.936911160755,other,0.0,4.0,13.0,1.0,133.0,0.0,0,0,0.433645538823105,0.8660254037844386,0.5000000000000001,1,0.6931471805599453,0.3886186745663942,4.897839799950911,0.0,17564.22037294,0.3420376293955739,8587.943382298525,8.613938330408624
CUST_013994,Cape Town,7981.814001870629,1489.801056638384,3990.676007920932,car,0.0,2.0,9.0,2.0,48.0,0.0,0,0,0.18664943285940164,0.49999999999999994,0.8660254037844387,1,1.0986122886681098,0.4999710600855484,3.8918202981106265,0.0,17564.22037294,0.3420376293955739,8587.943382298525,8.613938330408624
CUST_008111,Cape Town,2954.331116861523,1012.9595298777482,1994.345998838137,car,0.0,8.0,4.0,0.0,28.0,0.0,0,0,0.3428727146041255,0.8660254037844387,-0.4999999999999998,0,0.0,0.6750583871440897,3.367295829986474,0.0,17564.22037294,0.3420376293955739,8587.943382298525,8.613938330408624
CUST_011510,Johannesburg,31985.75810932497,18942.94426832711,18355.959295360622,consolidation,0.0,1.0,4.0,0.0,173.0,0.0,0,0,0.5922305859870984,0.25881904510252074,0.9659258262890683,0,0.0,0.5738791381033178,5.159055299214529,0.0,17152.090903412907,0.34071420837304034,8323.292528961734,8.581141528001432
CUST_002706_DUP,Gqeberha,,,,business,1.0,7.0,15.0,0.0,16.0,0.0,1,0,,0.9659258262890683,-0.25881904510252063,0,0.0,,2.833213344056216,7.0,18067.02835030883,0.33732506546772395,8702.452963901787,8.726141078838173
CUST_009812_DUP,Gqeberha,21304.198408679844,4187.896852129577,11131.988185750488,car,0.0,5.0,6.0,2.0,48.0,0.0,0,0,0.19657612888280873,0.9659258262890683,0.25881904510252074,1,1.0986122886681098,0.5225255591505873,3.8918202981106265,0.0,18067.02835030883,0.33732506546772395,8702.452963901787,8.726141078838173
CUST_014630,Johannesburg,7179.581733193279,1518.958966997962,7163.777520131263,debt_consolidation,1.0,4.0,10.0,0.0,107.0,0.0,0,0,0.21156649836234556,0.8660254037844386,0.5000000000000001,0,0.0,0.9977987278856443,4.68213122712422,4.0,17152.090903412907,0.34071420837304034,8323.292528961734,8.581141528001432
CUST_009680,Johannesburg,6098.0,2413.149249569565,3266.6714673907595,other,1.0,6.0,13.0,3.0,59.0,1.0,0,0,0.3957279845145236,1.0,6.123233995736766e-17,1,1.3862943611198906,0.5356955505724433,4.0943445622221,6.0,17152.090903412907,0.34071420837304034,8323.292528961734,8.581141528001432
CUST_011739,Durban,10549.95443464751,3176.344558684688,5817.093866879623,education,0.0,2.0,6.0,0.0,158.0,0.0,0,0,0.30107661396651464,0.49999999999999994,0.8660254037844387,0,0.0,0.5513856863471829,5.0689042022202315,0.0,17157.33242974949,0.34369649875077674,8275.804512870489,8.566174055829228
CUST_007125,Cape Town,,,,debt_consolidation,1.0,4.0,9.0,0.0,80.0,0.0,1,0,,0.8660254037844386,0.5000000000000001,0,0.0,,4.394449154672439,4.0,17564.22037294,0.3420376293955739,8587.943382298525,8.613938330408624
CUST_003930,Johannesburg,2741.177653301784,523.5022487163411,1008.8646134890424,debt_consolidation,0.0,3.0,7.0,0.0,9.0,0.0,0,0,0.19097713279756817,0.7071067811865476,0.7071067811865476,0,0.0,0.36804058003094103,2.302585092994046,0.0,17152.090903412907,0.34071420837304034,8323.292528961734,8.581141528001432
CUST_013349,Cape Town,,,,business,0.0,5.0,9.0,0.0,72.0,0.0,1,0,,0.9659258262890683,0.25881904510252074,0,0.0,,4.290459441148391,0.0,17564.22037294,0.3420376293955739,8587.943382298525,8.613938330408624
CUST_002532,Gqeberha,62430.76003604359,19402.659022190805,35174.44356466065,education,0.0,5.0,15.0,2.0,119.0,0.0,0,0,0.3107868462756009,0.9659258262890683,0.25881904510252074,1,1.0986122886681098,0.5634152706831239,4.787491742782046,0.0,18067.02835030883,0.33732506546772395,8702.452963901787,8.726141078838173
CUST_000264,Cape Town,12219.974350868675,6204.531503076227,7090.627536666972,home_improvement,0.0,2.0,11.0,0.0,160.0,0.0,0,0,0.5077368679284641,0.49999999999999994,0.8660254037844387,0,0.0,0.5802489705031929,5.081404364984463,0.0,17564.22037294,0.3420376293955739,8587.943382298525,8.613938330408624
CUST_014996,Durban,,,,vehicle,1.0,8.0,9.0,0.0,27.0,0.0,1,0,,0.8660254037844387,-0.4999999999999998,0,0.0,,3.332204510175204,8.0,17157.33242974949,0.34369649875077674,8275.804512870489,8.566174055829228
CUST_006102,Durban,,,,debt_consolidation,0.0,6.0,15.0,0.0,100.0,0.0,1,0,,1.0,6.123233995736766e-17,0,0.0,,4.61512051684126,0.0,17157.33242974949,0.34369649875077674,8275.804512870489,8.566174055829228
CUST_012515,Durban,12843.839950783464,5061.37672283865,2650.126079001736,business,0.0,4.0,6.0,0.0,5.0,0.0,0,0,0.3940703669800798,0.8660254037844386,0.5000000000000001,0,0.0,0.20633440537695896,1.791759469228055,0.0,17157.33242974949,0.34369649875077674,8275.804512870489,8.566174055829228
CUST_007517,Johannesburg,14488.519012060638,7242.3046845460785,8435.701871095112,debt_consolidation,0.0,2.0,5.0,0.0,88.0,0.0,0,0,0.4998650778949447,0.49999999999999994,0.8660254037844387,0,0.0,0.5822335508600295,4.48863636973214,0.0,17152.090903412907,0.34071420837304034,8323.292528961734,8.581141528001432
CUST_005809,Durban,8151.872214865677,1579.987266701128,2599.9830210617424,debt_consolidation,0.0,5.0,8.0,0.0,13.0,1.0,0,0,0.19381894429354254,0.9659258262890683,0.25881904510252074,0,0.0,0.3189430541269327,2.6390573296152584,0.0,17157.33242974949,0.34369649875077674,8275.804512870489,8.566174055829228
CUST_013101,Johannesburg,10448.797822451234,4401.26826628748,4636.575300032818,business,0.0,5.0,9.0,0.0,209.0,0.0,0,0,0.4212224545899928,0.9659258262890683,0.25881904510252074,0,0.0,0.44374246480970775,5.3471075307174685,0.0,17152.090903412907,0.34071420837304034,8323.292528961734,8.581141528001432
CUST_005246,Cape Town,23830.456117078364,4681.337498436278,15100.041721576092,debt_consolidation,0.0,6.0,4.0,0.0,58.0,0.0,0,0,0.196443470298554,1.0,6.123233995736766e-17,0,0.0,0.6336446792033694,4.07753744390572,0.0,17564.22037294,0.3420376293955739,8587.943382298525,8.613938330408624
CUST_011982,Johannesburg,15139.272570852,7192.607437743352,8324.657338696208,home_improvement,0.0,6.0,6.0,0.0,33.0,0.0,0,0,0.47509597334230247,1.0,6.123233995736766e-17,0,0.0,0.5498716863532709,3.5263605246161616,0.0,17152.090903412907,0.34071420837304034,8323.292528961734,8.581141528001432
CUST_001406,Cape Town,20344.51100159972,2889.3696981397243,7176.483592799547,debt_consolidation,1.0,8.0,14.0,0.0,32.0,0.0,0,0,0.14202207651550477,0.8660254037844387,-0.4999999999999998,0,0.0,0.3527479029717278,3.4965075614664802,8.0,17564.22037294,0.3420376293955739,8587.943382298525,8.613938330408624
CUST_004266,Cape Town,52268.25853041002,13704.492357237134,20891.365500804102,business,1.0,5.0,11.0,4.0,143.0,0.0,0,0,0.2621953120795821,0.9659258262890683,0.25881904510252074,1,1.6094379124341003,0.3996950747584094,4.969813299576001,5.0,17564.22037294,0.3420376293955739,8587.943382298525,8.613938330408624
